Representative,Committee,Rank,Congress,Last Name,First Name,Middle Initial,State,bioguideID
Sensenbrenner,Judiciary.,,112,Sensenbrenner,,,,S000244
Sensenbrenner,"Science, Space, and Technology.",,112,Sensenbrenner,,,,S000244
Serrano,Appropriations.,,112,Serrano,,,,S000248
Sessions,Rules.,,112,Sessions,,,,
Sewell,Agriculture.,,112,Sewell,,,,S001185
Sewell,"Science, Space, and Technology.",,112,Sewell,,,,S001185
Sherman,Financial Services.,,112,Sherman,,,,S000344
Sherman,Foreign Affairs.,,112,Sherman,,,,S000344
Shimkus,Energy and Commerce.,,112,Shimkus,,,,S000364
Shuler,Budget.,,112,Shuler,,,,S001171
Shuler,Transportation and Infrastructure.,,112,Shuler,,,,S001171
Shuster,Armed Services.,,112,Shuster,,,,S001154
Shuster,Transportation and Infrastructure.,,112,Shuster,,,,S001154
Simpson,Appropriations.,,112,Simpson,,,,S001148
Simpson,Budget.,,112,Simpson,,,,S001148
Sires,Foreign Affairs.,,112,Sires,,,,S001165
Sires,Transportation and Infrastructure.,,112,Sires,,,,S001165
Slaughter,Rules.,,112,Slaughter,,,,S000480
"Smith, Adam, of Washington",Armed Services.,,112,Smith,Adam,,Washington,S000510
"Smith, Adrian, of Nebraska",Ways and Means.,,112,Smith,Adrian,,Nebraska,S001172
"Smith, Christopher H., of New Jersey",Foreign Affairs.,,112,Smith,Christopher,H,New Jersey,S000522
"Smith, Lamar, of Texas","Judiciary, chair.",,112,Smith,Lamar,,Texas,S000583
"Smith, Lamar, of Texas",Homeland Security.,,112,Smith,Lamar,,Texas,S000583
"Smith, Lamar, of Texas","Science, Space, and Technology.",,112,Smith,Lamar,,Texas,S000583
Southerland,Agriculture.,,112,Southerland,,,,S001186
Southerland,Natural Resources.,,112,Southerland,,,,S001186
Southerland,Transportation and Infrastructure.,,112,Southerland,,,,S001186
Speier,Homeland Security.,,112,Speier,,,,S001175
Speier,Oversight and Government Reform.,,112,Speier,,,,S001175
Stark,Ways and Means.,,112,Stark,,,,S000810
Stearns,Energy and Commerce.,,112,Stearns,,,,S000822
Stearns,Veterans’ Affairs.,,112,Stearns,,,,S000822
Stivers,Financial Services.,,112,Stivers,,,,S001187
Stutzman,Agriculture.,,112,Stutzman,,,,S001188
Stutzman,Budget.,,112,Stutzman,,,,S001188
Stutzman,Veterans’ Affairs.,,112,Stutzman,,,,S001188
Sullivan,Energy and Commerce.,,112,Sullivan,,,,S001155
Sutton,Armed Services.,,112,Sutton,,,,S001174
Sutton,Natural Resources.,,112,Sutton,,,,S001174
Terry,Energy and Commerce.,,112,Terry,,,,T000459
"Thompson, Bennie G., of Mississippi",Homeland Security.,,112,Thompson,Bennie,G,Mississippi,T000193
"Thompson, Glenn, of Pennsylvania",Agriculture.,,112,Thompson,Glenn,,Pennsylvania,T000467
"Thompson, Glenn, of Pennsylvania",Education and the Workforce.,,112,Thompson,Glenn,,Pennsylvania,T000467
"Thompson, Glenn, of Pennsylvania",Natural Resources.,,112,Thompson,Glenn,,Pennsylvania,T000467
"Thompson, Mike, of California",Ways and Means.,,112,Thompson,Mike,,California,T000460
"Thompson, Mike, of California",Permanent Select Committee on Intelligence.,,112,Thompson,Mike,,California,T000460
Thornberry,Armed Services.,,112,Thornberry,,,,T000238
Thornberry,Permanent Select Committee on Intelligence.,,112,Thornberry,,,,T000238
Tiberi,Ways and Means.,,112,Tiberi,,,,T000462
Tierney,Education and the Workforce.,,112,Tierney,,,,T000266
Tierney,Oversight and Government Reform.,,112,Tierney,,,,T000266
Tipton,Agriculture.,,112,Tipton,,,,T000470
Tipton,Natural Resources.,,112,Tipton,,,,T000470
Tipton,Small Business.,,112,Tipton,,,,T000470
Tonko,Budget.,,112,Tonko,,,,T000469
Tonko,"Science, Space, and Technology.",,112,Tonko,,,,T000469
Towns,Energy and Commerce.,,112,Towns,,,,T000326
Towns,Oversight and Government Reform.,,112,Towns,,,,T000326
Tsongas,Armed Services.,,112,Tsongas,,,,T000465
Tsongas,Natural Resources.,,112,Tsongas,,,,T000465
"Turner, Michael R., of Ohio",Armed Services.,,112,Turner,Michael,R,Ohio,T000463
"Turner, Michael R., of Ohio",Oversight and Government Reform.,,112,Turner,Michael,R,Ohio,T000463
"Turner, Robert L., of New York",Foreign Affairs.,,112,Turner,Robert,L,New York,T000471
"Turner, Robert L., of New York",Homeland Security.,,112,Turner,Robert,L,New York,T000471
"Turner, Robert L., of New York",Veterans’ Affairs.,,112,Turner,Robert,L,New York,T000471
Upton,"Energy and Commerce, chair.",,112,Upton,,,,U000031
Upton,Joint Select Committee on Deficit Reduction.,,112,Upton,,,,U000031
Van Hollen,Budget.,,112,Van Hollen,,,,V000128
Van Hollen,Joint Select Committee on Deficit Reduction.,,112,Van Hollen,,,,V000128
Vela´zquez,Financial Services.,,112,Velázquez,,,,V000081
Vela´zquez,Small Business.,,112,Velázquez,,,,V000081
Visclosky,Appropriations.,,112,Visclosky,,,,V000108
Walberg,Education and the Workforce.,,112,Walberg,,,,W000798
Walberg,Homeland Security.,,112,Walberg,,,,W000798
Walberg,Oversight and Government Reform.,,112,Walberg,,,,W000798
Walden,Energy and Commerce.,,112,Walden,,,,W000791
"Walsh, Joe, of Illinois",Homeland Security.,,112,Walsh,Joe,,Illinois,W000811
"Walsh, Joe, of Illinois",Oversight and Government Reform.,,112,Walsh,Joe,,Illinois,W000811
"Walsh, Joe, of Illinois",Small Business.,,112,Walsh,Joe,,Illinois,W000811
"Walz, Timothy J., of Minnesota",Agriculture.,,112,Walz,Timothy,J,Minnesota,W000799
"Walz, Timothy J., of Minnesota",Transportation and Infrastructure.,,112,Walz,Timothy,J,Minnesota,W000799
