representative,party,transaction_date,ticker,type,industry,sector,price_date_unadjusted,price_date,purchase_price,purchase_price_plus_365
Thomas Suozzi,Democrat,11/4/2021,DOW,purchase,,,11/4/2022,11/4/2022,57.16999817,49.02999878
Thomas Suozzi,Democrat,11/4/2021,FINX,purchase,,,11/4/2022,11/4/2022,51.81000137,19.37999916
Thomas Suozzi,Democrat,11/4/2021,PYPL,purchase,Business Services,Miscellaneous,11/4/2022,11/4/2022,228.2200012,75.18000031
Thomas Suozzi,Democrat,11/4/2021,SLB,purchase,Oilfield Services/Equipment,Energy,11/4/2022,11/4/2022,33.15000153,53.09999847
Thomas Suozzi,Democrat,11/10/2021,BK,sale_full,Major Banks,Finance,11/10/2022,11/10/2022,59.15999985,44.06999969
Thomas Suozzi,Democrat,11/4/2021,TJX,purchase,Clothing/Shoe/Accessory Stores,Consumer Services,11/4/2022,11/4/2022,69.73999786,71.19000244
Josh Gottheimer,Democrat,7/29/2022,ALIZY,purchase,,,7/29/2023,7/31/2023,18.10000038,23.87000084
Josh Gottheimer,Democrat,7/20/2022,GOOG,sale_partial,"Computer Software: Programming, Data Processing",Technology,7/20/2023,7/20/2023,114.6999969,119.5299988
Josh Gottheimer,Democrat,7/27/2022,GOOG,sale_partial,"Computer Software: Programming, Data Processing",Technology,7/27/2023,7/27/2023,113.5999985,129.8699951
Josh Gottheimer,Democrat,7/15/2022,AAPL,purchase,Computer Manufacturing,Technology,7/15/2023,7/17/2023,150.1699982,193.9900055
Josh Gottheimer,Democrat,7/15/2022,COF,purchase,Major Banks,Finance,7/15/2023,7/17/2023,108.1500015,113.4300003
Josh Gottheimer,Democrat,7/15/2022,DE,purchase,Industrial Machinery/Components,Capital Goods,7/15/2023,7/17/2023,297.7000122,420.6000061
Josh Gottheimer,Democrat,7/29/2022,DE,sale_partial,Industrial Machinery/Components,Capital Goods,7/29/2023,7/31/2023,343.1799927,429.6000061
Josh Gottheimer,Democrat,7/15/2022,EFX,purchase,Advertising,Finance,7/15/2023,7/17/2023,192.4199982,237.1399994
Josh Gottheimer,Democrat,7/15/2022,FIS,purchase,Business Services,Miscellaneous,7/15/2023,7/17/2023,95.22000122,58.36000061
Josh Gottheimer,Democrat,7/22/2022,HELE,purchase,Home Furnishings,Consumer Durables,7/22/2023,7/24/2023,137.9799957,136.4499969
Josh Gottheimer,Democrat,7/19/2022,IBM,purchase,Computer Manufacturing,Technology,7/19/2023,7/19/2023,130.8800049,135.4799957
Josh Gottheimer,Democrat,7/15/2022,INTU,purchase,Computer Software: Prepackaged Software,Technology,7/15/2023,7/17/2023,392.9599915,490.8200073
Josh Gottheimer,Democrat,7/22/2022,MEDP,sale_partial,Biotechnology: Commercial Physical & Biological Resarch,Health Care,7/22/2023,7/24/2023,161.3999939,246.9400024
Josh Gottheimer,Democrat,7/15/2022,MSFT,purchase,Computer Software: Prepackaged Software,Technology,7/15/2023,7/17/2023,256.7200012,345.730011
Josh Gottheimer,Democrat,7/15/2022,NTDOY,purchase,,,7/15/2023,7/17/2023,11.23799992,11.39999962
Josh Gottheimer,Democrat,7/25/2022,NOVT,sale_partial,,,7/25/2023,7/25/2023,148.0800018,176.0399933
