Symbol,Name,Country,IPO Year,Volume,Sector,Industry
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,United States,2018,180602,Utilities,Power Generation
DUO,Fangdd Network Group Ltd. Class A Ordinary Shares,China,2019,1960911,Finance,Real Estate
DUOL,Duolingo Inc. Class A Common Stock,United States,2021,230170,Technology,Computer Software: Prepackaged Software
DUOT,Duos Technologies Group Inc. Common Stock,United States,,52812,Technology,Computer Software: Prepackaged Software
DV,DoubleVerify Holdings Inc. Common Stock,United States,2021,804901,Technology,Computer Software: Programming Data Processing
DVA,DaVita Inc. Common Stock,United States,,314270,Health Care,Misc Health and Biotechnology Services
DVAX,Dynavax Technologies Corporation Common Stock,United States,2004,611074,Health Care,Biotechnology: Pharmaceutical Preparations
DVN,Devon Energy Corporation Common Stock,United States,1985,3238449,Energy,Oil & Gas Production
DWSN,Dawson Geophysical Company Common Stock,United States,,11963,Energy,Oil & Gas Production
DWTX,Dogwood Therapeutics Inc. Common Stock,United States,2020,19671,Health Care,Biotechnology: Pharmaceutical Preparations
DX,Dynex Capital Inc. Common Stock,United States,,880742,Real Estate,Real Estate Investment Trusts
DX^C,Dynex Capital Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,5258,,
DXC,DXC Technology Company Common Stock ,United States,,502864,Technology,EDP Services
DXCM,DexCom Inc. Common Stock,United States,2005,1510185,Health Care,Medical/Dental Instruments
DXLG,Destination XL Group Inc. Common Stock,United States,,167841,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DXPE,DXP Enterprises Inc. Common Stock,United States,,61187,Industrials,Industrial Machinery/Components
DXR,Daxor Corporation Common Stock,United States,,612,Health Care,Medical/Dental Instruments
DXYZ,Destiny Tech100 Inc. Common Stock,,2024,699607,,
DY,Dycom Industries Inc. Common Stock,United States,,131634,Industrials,Water Sewer Pipeline Comm & Power Line Construction
DYAI,Dyadic International Inc. Common Stock,United States,,30441,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DYCQ,DT Cloud Acquisition Corporation Ordinary Shares,United Kingdom,2024,400,,
DYCQR,DT Cloud Acquisition Corporation Right,United Kingdom,2024,29237,,
DYN,Dyne Therapeutics Inc. Common Stock,United States,2020,469452,Health Care,Biotechnology: Pharmaceutical Preparations
DYNXU,Dynamix Corporation Unit,United States,2024,3313,,
E,ENI S.p.A. Common Stock,Italy,,168625,Energy,Oil & Gas Production
EA,Electronic Arts Inc. Common Stock,United States,,1624165,Technology,Computer Software: Prepackaged Software
EAD,Allspring Income Opportunities Fund Common Shares,United States,2003,73304,Finance,Finance/Investors Services
EAF,GrafTech International Ltd. Common Stock,United States,2018,1079493,Energy,Industrial Machinery/Components
EAI,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066,United States,2016,145980,Utilities,Electric Utilities: Central
EARN,Ellington Credit Company Common Shares of Beneficial Interest,United States,2013,325839,Real Estate,Real Estate Investment Trusts
EAST,Eastside Distilling Inc. Common Stock,United States,,131537,Consumer Staples,Beverages (Production/Distribution)
EAT,Brinker International Inc. Common Stock,United States,,558805,Consumer Discretionary,Restaurants
EB,Eventbrite Inc. Class A Common Stock,United States,2018,861388,Technology,Computer Software: Programming Data Processing
EBAY,eBay Inc. Common Stock,United States,1998,3266266,Consumer Discretionary,Business Services
EBC,Eastern Bankshares Inc. Common Stock,United States,2020,422090,Finance,Savings Institutions
EBF,Ennis Inc. Common Stock,United States,,50935,Consumer Discretionary,Office Equipment/Supplies/Services
EBMT,Eagle Bancorp Montana Inc. Common Stock,United States,2010,4920,Finance,Major Banks
EBON,Ebang International Holdings Inc. Class A Ordinary Shares,China,2020,63750,Technology,Semiconductors
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),Brazil,2016,1426324,Utilities,Electric Utilities: Central
EBS,Emergent BioSolutions Inc. Common Stock,United States,2006,508965,Health Care,Biotechnology: Pharmaceutical Preparations
EBTC,Enterprise Bancorp Inc Common Stock,United States,,11554,Finance,Major Banks
EC,Ecopetrol S.A. American Depositary Shares,Colombia,,1157719,Energy,Oil & Gas Production
ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,United States,2021,233579,Finance,Trusts Except Educational Religious and Charitable
ECBK,ECB Bancorp Inc. Common Stock,United States,2022,1520,Finance,Banks
ECC           ,Eagle Point Credit Company Inc. Common Stock,United States,2014,1198489,Finance,Trusts Except Educational Religious and Charitable
ECC^D,Eagle Point Credit Company Inc. 6.75% Series D Preferred Stock,United States,,30285,,
